iter	Logloss	AUC	Accuracy
240	0.507895537	0.8377768993	0.7508514342
241	0.5077683392	0.8378762901	0.7509696889
242	0.5076176383	0.837990582	0.7510028003
243	0.5074895167	0.8380779624	0.751045372
244	0.507329725	0.8381516635	0.7511920079
245	0.5071984992	0.8382612467	0.7513386438
246	0.5070743317	0.8383654952	0.7514379777
247	0.5069597354	0.8384717405	0.7516129948
248	0.5068232251	0.8385480642	0.7516319155
249	0.5066587032	0.8386644721	0.7518116628
250	0.5065364573	0.8387612104	0.7519488383
251	0.5063749657	0.8388528824	0.7520103307
252	0.5062190173	0.8389332891	0.7520103307
253	0.5060983235	0.8389803469	0.75199141
254	0.5059738234	0.839050591	0.7520056005
255	0.5057850593	0.8391820788	0.7521948081
256	0.5056578615	0.8392443657	0.75224211
257	0.5054960742	0.8393240571	0.7525022705
258	0.5053637028	0.8394105434	0.7527340498
259	0.5052340661	0.8394847214	0.7526962083
260	0.505100623	0.8395687938	0.7527908121
261	0.5049390574	0.8396570683	0.7527955423
262	0.5048025101	0.8397357464	0.7528523045
263	0.5046981873	0.8398115635	0.7528475744
264	0.5045877299	0.8399068713	0.7529800197
265	0.5044861787	0.8399828076	0.753088814
266	0.504364635	0.8400579691	0.7531219254
267	0.5042554711	0.8401535451	0.7531976084
268	0.5041466397	0.8402421474	0.7533158632
269	0.5040121989	0.8403365314	0.7536280557
270	0.5038881053	0.8404053152	0.7536753576
271	0.5037501537	0.8404821455	0.7537794218
272	0.5036557717	0.840552479	0.7538078029
273	0.5035461643	0.8406221271	0.7539213275
274	0.5034497867	0.8406940699	0.754058503
275	0.5033142002	0.8407697678	0.7540821539
276	0.50318327	0.8408623338	0.7542382502
277	0.5030642023	0.8409214914	0.7542524408
278	0.5029438781	0.8409864902	0.7543801559
279	0.502852785	0.841058284	0.7544794899
280	0.5027343085	0.84115237	0.7546450465
281	0.5026350854	0.8412109315	0.75473019
282	0.5025151307	0.8412920535	0.7547254598
283	0.5024078515	0.8413733542	0.7548437145
284	0.5023091457	0.8414413631	0.7549146674
285	0.5022155397	0.8415086567	0.7551842882
286	0.5020934047	0.8415575325	0.7550565731
287	0.5019813953	0.8416046798	0.7551369863
288	0.5018735617	0.8416591883	0.7552315901
289	0.5017693128	0.841725558	0.7552268599
290	0.5016718635	0.8417749107	0.7553734958
291	0.5015500611	0.8418577015	0.7554633694
292	0.501397845	0.8419469297	0.7553876864
293	0.5013081562	0.8420166075	0.7555201317
294	0.5012107808	0.8421057165	0.7556147355
295	0.5010699098	0.8421783745	0.7557046091
296	0.5009474792	0.8422348201	0.7556809581
297	0.5008473692	0.8422904015	0.7557140695
298	0.5007360619	0.842379719	0.7558890865
299	0.5006322934	0.8424336612	0.7560593733
300	0.5005366548	0.8424739838	0.7560972149
301	0.5004191761	0.8425242603	0.7562154696
302	0.5003057624	0.8426148593	0.7563100734
303	0.5001973746	0.842689842	0.756423598
304	0.500087915	0.8427624702	0.7564188678
305	0.4999585	0.8428645432	0.7564283282
306	0.499870511	0.8429361284	0.7564661697
307	0.4997643405	0.8429827988	0.7566128056
308	0.4996543266	0.8430567086	0.7566790282
309	0.4995330785	0.8431200683	0.7567310603
310	0.499420293	0.8431918323	0.7567830924
311	0.4992963473	0.843262583	0.7568587754
312	0.4991821945	0.8433352411	0.7569675698
313	0.4990595052	0.8434301913	0.7570006811
314	0.4989566975	0.8434924185	0.757071634
315	0.4988548506	0.8435607851	0.7571520472
316	0.4987509712	0.8436278999	0.7572277303
317	0.498629797	0.8437128365	0.7573790963
318	0.4985443579	0.8437688947	0.7574122077
319	0.4984470934	0.8438488245	0.7573649058
320	0.4983566655	0.8439171612	0.7575730341
321	0.49826184	0.8439994752	0.7575872247
322	0.4981606213	0.8440610766	0.7576392568
323	0.4980577397	0.844106406	0.7575635738
324	0.4978928851	0.8441971838	0.7576723681
325	0.4977984661	0.8442697227	0.7576581776
326	0.4977027167	0.8443490565	0.75771967
327	0.4976018676	0.8444136083	0.7577717021
328	0.4975055639	0.8444904387	0.7580555135
329	0.4973932588	0.8445698321	0.7581122758
330	0.4973048264	0.8446035981	0.7581737683
331	0.4972174288	0.8446619213	0.7582541815
332	0.4971186122	0.8447332978	0.7583345947
333	0.4970081179	0.8447904885	0.7583109438
334	0.4969156205	0.8448503017	0.7583298645
335	0.4968073065	0.8449221253	0.7584812306
336	0.4967099681	0.8449869454	0.7584481193
337	0.496586318	0.845069021	0.7586089457
338	0.4964819582	0.8451513946	0.7587934231
339	0.4963906803	0.8452106416	0.7587319307
340	0.4962991068	0.8452858627	0.7588123439
341	0.4961887973	0.8453343213	0.7587934231
342	0.4961007344	0.8454078734	0.7590677742
343	0.4960043938	0.8454795778	0.7591150761
344	0.4959101965	0.8455508649	0.7591812987
345	0.4958276029	0.8455915153	0.7592948233
346	0.4957425334	0.845665127	0.7592900931
347	0.4956458971	0.8457221091	0.7592995535
348	0.4955601994	0.8457863927	0.7594651101
349	0.4954841098	0.8458274603	0.7592569818
350	0.4953998533	0.8458779156	0.759313744
351	0.4953096471	0.8459349573	0.7594178082
352	0.4952229516	0.8460069001	0.7595502535
353	0.4951359974	0.8460790813	0.7596732385
354	0.49505976	0.8461437523	0.759687429
355	0.494963715	0.8462069035	0.7597300008
356	0.4948551793	0.8462988734	0.7599002876
357	0.494751263	0.8463436663	0.7599712404
358	0.4946336734	0.8464302421	0.7599523197
359	0.4945581382	0.8464914858	0.7599333989
360	0.4944822334	0.8465449214	0.7599996216
361	0.4943926924	0.8465833962	0.7600043518
362	0.4942999363	0.8466532528	0.7602172103
363	0.4942028935	0.8467102945	0.7602124801
364	0.4941338993	0.8467613757	0.7602172103
365	0.494045356	0.8468228281	0.7602645122
366	0.4939527478	0.8469134867	0.7604253387
367	0.4938572571	0.8469751179	0.760382767
368	0.4937629858	0.8470394909	0.760482101
369	0.4936716341	0.8471126854	0.7606145463
370	0.4935675329	0.8472063243	0.7607848331
371	0.4934492412	0.8472957313	0.760732801
372	0.4933544896	0.8473790884	0.7607990237
373	0.4932822803	0.8474393487	0.7609740407
374	0.4932099971	0.8474860191	0.761007152
375	0.493107485	0.8475344181	0.7610449936
376	0.4930060076	0.8475796282	0.7610118822
377	0.4929173166	0.8476391435	0.7610922955
378	0.492840451	0.8476952612	0.7611632483
